time,f_solid,interface_pos,interface_speed
1.200000000000000400e+00,5.303539132018901814e-01,4.696460867981097920e+01,-1.728778713616385687e+00
1.240000000000000435e+00,5.310427558660906211e-01,4.689572441339093700e+01,-1.722106660501054876e+00
1.280000000000000471e+00,5.317313225902399187e-01,4.682686774097600590e+01,-1.721416810373277428e+00
1.320000000000000506e+00,5.324220155755032824e-01,4.675779844244967620e+01,-1.726732463158242581e+00
1.360000000000000542e+00,5.331172524585242600e-01,4.668827475414757799e+01,-1.738092207552455193e+00
1.400000000000000577e+00,5.338194710697867773e-01,4.661805289302132138e+01,-1.755546528156415320e+00
1.440000000000000613e+00,5.345311320452227344e-01,4.654688679547773233e+01,-1.779152438589726160e+00
1.480000000000000648e+00,5.352547183989904145e-01,4.647452816010095944e+01,-1.808965884419322379e+00
1.520000000000000684e+00,5.359927310276682011e-01,4.640072689723317723e+01,-1.845031571694555339e+00
1.560000000000000719e+00,5.367476789476338661e-01,4.632523210523660850e+01,-1.887369799914218049e+00
1.600000000000000755e+00,5.375220628804372458e-01,4.624779371195627675e+01,-1.935959832008293802e+00
1.640000000000000790e+00,5.383183506221139725e-01,4.616816493778860320e+01,-1.990719354191838875e+00
1.680000000000000826e+00,5.391389425086661191e-01,4.608610574913338809e+01,-2.051479716380377738e+00
1.720000000000000862e+00,5.399861252961175584e-01,4.600138747038824505e+01,-2.117956968628575964e+00
1.760000000000000897e+00,5.408620130122188119e-01,4.591379869877811615e+01,-2.189719290253222539e+00
1.800000000000000933e+00,5.417684739326703580e-01,4.582315260673296820e+01,-2.266152301128698809e+00
1.840000000000000968e+00,5.427070439122784196e-01,4.572929560877216204e+01,-2.346424949020153861e+00
1.880000000000001004e+00,5.436788279482339670e-01,4.563211720517659842e+01,-2.429460089889090568e+00
1.920000000000001039e+00,5.446843940656158622e-01,4.553156059343841378e+01,-2.513915293454616062e+00
1.960000000000001075e+00,5.457236662405846594e-01,4.542763337594153228e+01,-2.598180437422037414e+00
2.000000000000000888e+00,5.467958257629073060e-01,4.532041742370926585e+01,-2.680398805806660789e+00
2.040000000000000924e+00,5.478992326303742111e-01,4.521007673696258422e+01,-2.758517168667040664e+00
2.080000000000000959e+00,5.490313795700890731e-01,4.509686204299109846e+01,-2.830367349287143952e+00
2.120000000000000995e+00,5.501888904221141630e-01,4.498111095778858726e+01,-2.893777130062780145e+00
2.160000000000001030e+00,5.513675714772162673e-01,4.486324285227837549e+01,-2.946702637755294063e+00
2.200000000000001066e+00,5.525625189975884588e-01,4.474374810024115590e+01,-2.987368800930489954e+00
2.240000000000001101e+00,5.537682792561208212e-01,4.462317207438792366e+01,-3.014400646330805955e+00
2.280000000000001137e+00,5.549790502525644431e-01,4.450209497474355658e+01,-3.026927491109177026e+00
2.320000000000001172e+00,5.561889083132559586e-01,4.438110916867439926e+01,-3.024645151728933001e+00
2.360000000000001208e+00,5.573920393812997753e-01,4.426079606187002469e+01,-3.007827670109364249e+00
2.400000000000001243e+00,5.585829546791599709e-01,4.414170453208400602e+01,-2.977288244650466709e+00
2.440000000000001279e+00,5.597566734757538631e-01,4.402433265242461857e+01,-2.934296991484686146e+00
2.480000000000001315e+00,5.609088610674989317e-01,4.390911389325010816e+01,-2.880468979362760251e+00
2.520000000000001350e+00,5.620359165063804063e-01,4.379640834936196114e+01,-2.817638597203675488e+00
2.560000000000001386e+00,5.631350107744798050e-01,4.368649892255201905e+01,-2.747735670248552253e+00
2.600000000000001421e+00,5.642040810234700832e-01,4.357959189765298902e+01,-2.672675622475750856e+00
2.640000000000001457e+00,5.652417896595292035e-01,4.347582103404708675e+01,-2.594271590147556594e+00
2.680000000000001492e+00,5.662474584152265011e-01,4.337525415847734678e+01,-2.514171889243499436e+00
2.720000000000001528e+00,5.672209874005361696e-01,4.327790125994638259e+01,-2.433822463274104564e+00
2.760000000000001563e+00,5.681627679192869929e-01,4.318372320807129938e+01,-2.354451296877080324e+00
