time,thickness_phi_pm0.8
1.411999999999987487e+01,3.121912778897701912e+00
1.415999999999987402e+01,3.116029794526774310e+00
1.419999999999987317e+01,3.103438844379802219e+00
1.423999999999987232e+01,3.084556554837419640e+00
1.427999999999987146e+01,3.059737869323257087e+00
1.431999999999987061e+01,3.029287278069588751e+00
1.435999999999986976e+01,2.993467580707715570e+00
1.439999999999986890e+01,2.952506454114491419e+00
1.443999999999986805e+01,2.906601101655667208e+00
1.447999999999986720e+01,2.887751772471062850e+00
1.451999999999986635e+01,2.887471767619928187e+00
1.455999999999986549e+01,2.885472971976028589e+00
1.459999999999986464e+01,2.881890690239941932e+00
1.463999999999986379e+01,2.947185992616269345e+00
1.467999999999986294e+01,3.003221493965895661e+00
1.471999999999986208e+01,3.046922338573516242e+00
1.475999999999986123e+01,3.079631686907532639e+00
1.479999999999986038e+01,3.102465853909798454e+00
1.483999999999985953e+01,3.116353838599231096e+00
1.487999999999985867e+01,3.122070177977427363e+00
1.491999999999985782e+01,3.120262361954544872e+00
1.495999999999985697e+01,3.111473729426045054e+00
1.499999999999985612e+01,3.096162525424553280e+00
1.503999999999985526e+01,3.074717625017299838e+00
1.507999999999985441e+01,3.047471311362897950e+00
1.511999999999985356e+01,3.014709423273608024e+00
1.515999999999985270e+01,2.976679152145926821e+00
1.519999999999985185e+01,2.933594760029798465e+00
1.523999999999985100e+01,2.887075785687613916e+00
1.527999999999985015e+01,2.887852166721458502e+00
1.531999999999984929e+01,2.886824268811281513e+00
1.535999999999984844e+01,2.884136977126630086e+00
1.539999999999984759e+01,2.908757480554378105e+00
1.543999999999984674e+01,2.972599474722706248e+00
1.547999999999984588e+01,3.023213432417847457e+00
1.551999999999984503e+01,3.062094024697302075e+00
1.555999999999984418e+01,3.090482702396286641e+00
1.559999999999984333e+01,3.109411778208063026e+00
1.563999999999984247e+01,3.119740944730160948e+00
1.567999999999984162e+01,3.122187686376236115e+00
1.571999999999984077e+01,3.117352677297851926e+00
1.575999999999983991e+01,3.105740974668087517e+00
1.579999999999983906e+01,3.087779605729352284e+00
1.583999999999983821e+01,3.063831997755130487e+00
1.587999999999983736e+01,3.034209602635797864e+00
1.591999999999983650e+01,2.999181012430838678e+00
1.595999999999983565e+01,2.958978839478398015e+00
1.599999999999983480e+01,2.913804635549581690e+00
1.603999999999983572e+01,2.887636181782276878e+00
1.607999999999983487e+01,2.887627034345015886e+00
1.611999999999983402e+01,2.885877358691310235e+00
1.615999999999983316e+01,2.882524832658212688e+00
1.619999999999983231e+01,2.937607520689589080e+00
1.623999999999983146e+01,2.995628042222215015e+00
1.627999999999983061e+01,3.041089749680722321e+00
1.631999999999982975e+01,3.075373774040365049e+00
1.635999999999982890e+01,3.099627792936765047e+00
1.639999999999982805e+01,3.114806693172837981e+00
1.643999999999982720e+01,3.121706339237505290e+00
1.647999999999982634e+01,3.120991739383391916e+00
1.651999999999982549e+01,3.113220571785390689e+00
1.655999999999982464e+01,3.098862782314760977e+00
1.659999999999982379e+01,3.078316781946796254e+00
1.663999999999982293e+01,3.051922645784500787e+00
1.667999999999982208e+01,3.019972637295353479e+00
1.671999999999982123e+01,2.982719340980587219e+00
1.675999999999982037e+01,2.940381675054695165e+00
1.679999999999981952e+01,2.893149064089143963e+00
1.683999999999981867e+01,2.887854452571424702e+00
1.687999999999981782e+01,2.887087869071407908e+00
1.691999999999981696e+01,2.884641235158532879e+00
1.695999999999981611e+01,2.897916791733884168e+00
1.699999999999981526e+01,2.963893294303638015e+00
1.703999999999981441e+01,3.016392218979234485e+00
1.707999999999981355e+01,3.056950629537354303e+00
1.711999999999981270e+01,3.086844985453787160e+00
1.715999999999981185e+01,3.107136512884459023e+00
1.719999999999981100e+01,3.118708755251169862e+00
1.723999999999981014e+01,3.122298824183964427e+00
1.727999999999980929e+01,3.118523492301967792e+00
1.731999999999980844e+01,3.107900974836859120e+00
1.735999999999980759e+01,3.090869026038156164e+00
1.739999999999980673e+01,3.067799818417597635e+00
1.743999999999980588e+01,3.039011968286139620e+00
1.747999999999980503e+01,3.004780009943736729e+00
1.751999999999980417e+01,2.965341593790732588e+00
1.755999999999980332e+01,2.920902681488755093e+00
1.759999999999980247e+01,2.887478432777371040e+00
1.763999999999980162e+01,2.887743580142164035e+00
1.767999999999980076e+01,2.886245946562553399e+00
1.771999999999979991e+01,2.883125639496206816e+00
1.775999999999979906e+01,2.927691124305027870e+00
1.779999999999979821e+01,2.987713266876397711e+00
1.783999999999979735e+01,3.034944892171402842e+00
1.787999999999979650e+01,3.070806161358255792e+00
1.791999999999979565e+01,3.096476988832968402e+00
1.795999999999979480e+01,3.112938906387540783e+00
1.799999999999979394e+01,3.121009811770392162e+00
1.803999999999979309e+01,3.121372950236782629e+00
1.807999999999979224e+01,3.114601136980510887e+00
1.811999999999979138e+01,3.101176967800633122e+00
1.815999999999979053e+01,3.081509574245053784e+00
1.819999999999978968e+01,3.055948347760441663e+00
1.823999999999978883e+01,3.024793975250169353e+00
1.827999999999978797e+01,2.988307086289957226e+00
1.831999999999978712e+01,2.946714800852213045e+00
1.835999999999978627e+01,2.900215477111977691e+00
1.839999999999978542e+01,2.887509777845437497e+00
1.843999999999978456e+01,2.887068561523179255e+00
1.847999999999978371e+01,2.884968184076313946e+00
1.851999999999978286e+01,2.887333664734583749e+00
1.855999999999978201e+01,2.964868507659900843e+00
1.859999999999978115e+01,3.029543554345437428e+00
1.863999999999978030e+01,3.083065066721644598e+00
1.867999999999977945e+01,3.126902685191780051e+00
1.871999999999977859e+01,3.162340489124311205e+00
1.875999999999977774e+01,3.190522037455707505e+00
1.879999999999977689e+01,3.212491462653773056e+00
1.883999999999977604e+01,3.229232480395452853e+00
1.887999999999977518e+01,3.241707104690917163e+00
1.891999999999977433e+01,3.250895930200890405e+00
1.895999999999977348e+01,3.257842068112104528e+00
