time,total_energy
4.560000000000003162e+00,-8.952720880809733899e+02
4.600000000000003197e+00,-8.985545327545496548e+02
4.640000000000003233e+00,-9.018229082041603988e+02
4.680000000000003268e+00,-9.050771476174438703e+02
4.720000000000003304e+00,-9.083186240380346135e+02
4.760000000000003340e+00,-9.115500006209795174e+02
4.800000000000003375e+00,-9.147749542863398347e+02
4.840000000000003411e+00,-9.179978027007705350e+02
4.880000000000003446e+00,-9.212230717054170555e+02
4.920000000000003482e+00,-9.244550441061617221e+02
4.960000000000003517e+00,-9.276973316357991735e+02
5.000000000000003553e+00,-9.309525101802071276e+02
5.040000000000003588e+00,-9.342218539596379969e+02
5.080000000000003624e+00,-9.375051969331979080e+02
5.120000000000003659e+00,-9.408009389630207124e+02
5.160000000000003695e+00,-9.441062004276529933e+02
5.200000000000003730e+00,-9.474171130264086287e+02
5.240000000000003766e+00,-9.507292183849543790e+02
5.280000000000003801e+00,-9.540379322898012333e+02
5.320000000000003837e+00,-9.573390234847829561e+02
5.360000000000003872e+00,-9.606290537714083939e+02
5.400000000000003908e+00,-9.639057311819435654e+02
5.440000000000003944e+00,-9.671681392782545572e+02
5.480000000000003979e+00,-9.704168210267894210e+02
5.520000000000004015e+00,-9.736537125254559442e+02
5.560000000000004050e+00,-9.768819376192230948e+02
5.600000000000004086e+00,-9.801054873882043239e+02
5.640000000000004121e+00,-9.833288178258500238e+02
5.680000000000004157e+00,-9.865564047499567550e+02
5.720000000000004192e+00,-9.897922975365070215e+02
5.760000000000004228e+00,-9.930397130698926276e+02
5.800000000000004263e+00,-9.963007085019645501e+02
5.840000000000004299e+00,-9.995759657954705517e+02
5.880000000000004334e+00,-1.002864712230880627e+03
5.920000000000004370e+00,-1.006164788949663034e+03
5.960000000000004405e+00,-1.009472864704257631e+03
6.000000000000004441e+00,-1.012784775693574147e+03
6.040000000000004476e+00,-1.016095956912716701e+03
6.080000000000004512e+00,-1.019401918452829022e+03
6.120000000000004547e+00,-1.022698713963769592e+03
6.160000000000004583e+00,-1.025983349351757397e+03
6.200000000000004619e+00,-1.029254087611730029e+03
6.240000000000004654e+00,-1.032510618976941487e+03
