time,f_solid,interface_pos,interface_speed
2.480000000000001315e+00,5.443832426531352020e-01,2.721916213265676276e+01,1.263749370111177939e+00
2.520000000000001350e+00,5.453946340982634977e-01,2.726973170491317333e+01,1.264239306410264163e+00
2.560000000000001386e+00,5.464067308832730729e-01,2.732033654416365209e+01,1.265120981261969035e+00
2.600000000000001421e+00,5.474198243310505196e-01,2.737099121655252532e+01,1.266366809721830577e+00
2.640000000000001457e+00,5.484341505847694087e-01,2.742170752923847132e+01,1.267907817148650196e+00
2.680000000000001492e+00,5.494498631422717327e-01,2.747249315711358619e+01,1.269640696877871733e+00
2.720000000000001528e+00,5.504670138380988176e-01,2.752335069190494465e+01,1.271438369783961519e+00
2.760000000000001563e+00,5.514855443054478279e-01,2.757427721527239228e+01,1.273163084186190730e+00
2.800000000000001599e+00,5.525052889291663938e-01,2.762526444645831702e+01,1.274680779648118545e+00
2.840000000000001634e+00,5.535259891132923160e-01,2.767629945566461558e+01,1.275875230157463847e+00
2.880000000000001670e+00,5.545473174601340816e-01,2.772736587300670763e+01,1.276660433552301299e+00
2.920000000000001705e+00,5.555689093468697548e-01,2.777844546734348441e+01,1.276989858419419477e+00
2.960000000000001741e+00,5.565903985449698332e-01,2.782951992724849433e+01,1.276861497625247921e+00
3.000000000000001776e+00,5.576114530779834322e-01,2.788057265389917205e+01,1.276318166266943166e+00
3.040000000000001812e+00,5.586318075164140584e-01,2.793159037582070070e+01,1.275443048038216176e+00
3.080000000000001847e+00,5.596512883525404103e-01,2.798256441762701741e+01,1.274351045157917639e+00
3.120000000000001883e+00,5.606698299054417856e-01,2.803349149527209150e+01,1.273176941126852313e+00
3.160000000000001918e+00,5.616874792542168038e-01,2.808437396271083841e+01,1.272061685968672862e+00
3.200000000000001954e+00,5.627043898464759719e-01,2.813521949232379882e+01,1.271138240324010127e+00
3.240000000000001990e+00,5.637208045518318222e-01,2.818604022759159378e+01,1.270518381694873966e+00
3.280000000000002025e+00,5.647370299255031201e-01,2.823685149627515401e+01,1.270281717089005724e+00
3.320000000000002061e+00,5.657534042462345480e-01,2.828767021231172762e+01,1.270467900914340476e+00
3.360000000000002096e+00,5.667702624527777289e-01,2.833851312263888644e+01,1.271072758178970474e+00
3.400000000000002132e+00,5.677879013959967747e-01,2.838939506979983918e+01,1.272048679023818352e+00
3.440000000000002167e+00,5.688065488292846084e-01,2.844032744146422687e+01,1.273309291609692195e+00
3.480000000000002203e+00,5.698263392631274238e-01,2.849131696315637186e+01,1.274738042303624752e+00
3.520000000000002238e+00,5.708472992078849062e-01,2.854236496039424864e+01,1.276199930946919636e+00
3.560000000000002274e+00,5.718693434447386093e-01,2.859346717223692735e+01,1.277555296066967827e+00
3.600000000000002309e+00,5.728922828584543936e-01,2.864461414292271968e+01,1.278674267144808141e+00
3.640000000000002345e+00,5.739158431422672901e-01,2.869579215711336317e+01,1.279450354766087372e+00
3.680000000000002380e+00,5.749396924858549696e-01,2.874698462429275025e+01,1.279811679484677001e+00
3.720000000000002416e+00,5.759634753412963271e-01,2.879817376706481724e+01,1.279728569301674668e+00
3.760000000000002451e+00,5.769868486725187040e-01,2.884934243362593520e+01,1.279216664027948980e+00
3.800000000000002487e+00,5.780095168299244079e-01,2.890047584149622395e+01,1.278335196757218739e+00
3.840000000000002522e+00,5.790312613844967871e-01,2.895156306922483935e+01,1.277180693215385077e+00
3.880000000000002558e+00,5.800519628636664482e-01,2.900259814318332374e+01,1.275876848962109733e+00
3.920000000000002593e+00,5.810716122547345819e-01,2.905358061273672732e+01,1.274561738835089386e+00
3.960000000000002629e+00,5.820903112478064134e-01,2.910451556239031845e+01,1.273373741339778320e+00
4.000000000000002665e+00,5.831082613420676131e-01,2.915541306710338176e+01,1.272437617826582823e+00
4.040000000000002700e+00,5.841257430193933509e-01,2.920628715096966843e+01,1.271852096657166697e+00
4.080000000000002736e+00,5.851430871100029574e-01,2.925715435550014831e+01,1.271680113261997036e+00
4.120000000000002771e+00,5.861606411793447435e-01,2.930803205896723895e+01,1.271942586677266007e+00
4.160000000000002807e+00,5.871787342174767943e-01,2.935893671087384149e+01,1.272616297665063456e+00
4.200000000000002842e+00,5.881976430878528284e-01,2.940988215439264053e+01,1.273636087969975961e+00
4.240000000000002878e+00,5.892175640728686270e-01,2.946087820364342846e+01,1.274901231269698343e+00
4.280000000000002913e+00,5.902385924277319118e-01,2.951192962138659936e+01,1.276285443579272538e+00
4.320000000000002949e+00,5.912607121286297396e-01,2.956303560643148387e+01,1.277649626122112636e+00
4.360000000000002984e+00,5.922837970132623919e-01,2.961418985066312004e+01,1.278856105790904252e+00
4.400000000000003020e+00,5.933076233407569289e-01,2.966538116703785022e+01,1.279782909368254451e+00
4.440000000000003055e+00,5.943318925661082996e-01,2.971659462830541543e+01,1.280336531689130197e+00
4.480000000000003091e+00,5.953562619832859504e-01,2.976781309916429663e+01,1.280461771472030108e+00
4.520000000000003126e+00,5.963803799975120334e-01,2.981901899987560256e+01,1.280147517782648237e+00
4.560000000000003162e+00,5.974039222689471185e-01,2.987019611344735637e+01,1.279427839293845182e+00
4.600000000000003197e+00,5.984266248982148539e-01,2.992133124491074270e+01,1.278378286584658241e+00
4.640000000000003233e+00,5.994483111997015445e-01,2.997241555998507323e+01,1.277107876858263324e+00
4.680000000000003268e+00,6.004689093624620000e-01,3.002344546812310000e+01,1.275747703450669235e+00
4.720000000000003304e+00,6.014884593142105773e-01,3.007442296571052864e+01,1.274437439685716100e+00
4.760000000000003340e+00,6.025071082437861714e-01,3.012535541218931101e+01,1.273311161969559180e+00
4.800000000000003375e+00,6.035250953710160626e-01,3.017625476855080180e+01,1.272483909037269711e+00
4.840000000000003411e+00,6.045427275744482687e-01,3.022713637872241321e+01,1.272040254290285333e+00
4.880000000000003446e+00,6.055603483233811257e-01,3.027801741616905318e+01,1.272025936165999127e+00
4.920000000000003482e+00,6.065783029631015566e-01,3.032891514815507961e+01,1.272443299650660720e+00
4.960000000000003517e+00,6.075969037420725360e-01,3.037984518710362281e+01,1.273250973713579981e+00
5.000000000000003553e+00,6.086163980239193139e-01,3.043081990119596369e+01,1.274367852308522231e+00
5.040000000000003588e+00,6.096369428803624091e-01,3.048184714401811846e+01,1.275681070553869034e+00
5.080000000000003624e+00,6.106585887072838448e-01,3.053292943536419557e+01,1.277057283651927833e+00
5.120000000000003659e+00,6.116812736638876924e-01,3.058406368319438684e+01,1.278356195754781766e+00
5.160000000000003695e+00,6.127048296580540621e-01,3.063524148290270332e+01,1.279444992707912121e+00
5.200000000000003730e+00,6.137289993879185834e-01,3.068644996939593028e+01,1.280212162330673920e+00
5.240000000000003766e+00,6.147534627374264815e-01,3.073767313687132230e+01,1.280579186884800436e+00
5.280000000000003801e+00,6.157778697694425984e-01,3.078889348847213014e+01,1.280508790020196130e+00
5.320000000000003837e+00,6.168018768117942141e-01,3.084009384058971293e+01,1.280008802939569534e+00
5.360000000000003872e+00,6.178251817963147374e-01,3.089125908981573332e+01,1.279131230650509821e+00
5.400000000000003908e+00,6.188475551305978595e-01,3.094237775652989342e+01,1.277966667854002480e+00
5.440000000000003944e+00,6.198688629269002437e-01,3.099344314634501174e+01,1.276634745377958069e+00
5.480000000000003979e+00,6.208890802905135953e-01,3.104445401452568021e+01,1.275271704516711679e+00
5.520000000000004015e+00,6.219082934528293860e-01,3.109541467264146775e+01,1.274016452894688456e+00
5.560000000000004050e+00,6.229266906845200014e-01,3.114633453422599985e+01,1.272996539613302502e+00
5.600000000000004086e+00,6.239445430209812349e-01,3.119722715104905930e+01,1.272315420576486389e+00
5.640000000000004121e+00,6.249621767827110430e-01,3.124810883913555415e+01,1.272042202162371183e+00
5.680000000000004157e+00,6.259799406164363589e-01,3.129899703082181617e+01,1.272204792156550468e+00
5.720000000000004192e+00,6.269981702786210365e-01,3.134990851393105160e+01,1.272787077730885841e+00
5.760000000000004228e+00,6.280171546064745591e-01,3.140085773032372884e+01,1.273730409816931086e+00
5.800000000000004263e+00,6.290371060518390456e-01,3.145185530259195161e+01,1.274939306705569209e+00
5.840000000000004299e+00,6.300581387778710907e-01,3.150290693889355609e+01,1.276290907540111874e+00
5.880000000000004334e+00,6.310802566403995728e-01,3.155401283201997842e+01,1.277647328160558260e+00
5.920000000000004370e+00,6.321033524264981773e-01,3.160516762132490953e+01,1.278869732623277855e+00
5.960000000000004405e+00,6.331272185753813453e-01,3.165636092876906815e+01,1.279832686103965500e+00
6.000000000000004441e+00,6.341515683766971723e-01,3.170757841883485995e+01,1.280437251644794827e+00
6.040000000000004476e+00,6.351760654771018144e-01,3.175880327385509361e+01,1.280621375505841542e+00
6.080000000000004512e+00,6.362003585850013465e-01,3.181001792925006555e+01,1.280366384874298546e+00
6.120000000000004547e+00,6.372241176790420791e-01,3.186120588395210262e+01,1.279698867550926877e+00
6.160000000000004583e+00,6.382470678803506825e-01,3.191235339401753279e+01,1.278687751635754211e+00
6.200000000000004619e+00,6.392690174525657021e-01,3.196345087262828599e+01,1.277436965268829994e+00
6.240000000000004654e+00,6.402898770903369119e-01,3.201449385451684293e+01,1.276074547213923438e+00
6.280000000000004690e+00,6.413096686351856812e-01,3.206548343175928295e+01,1.274739431061000516e+00
6.320000000000004725e+00,6.423285224829543560e-01,3.211642612414771492e+01,1.273567309710799123e+00
6.360000000000004761e+00,6.433466640863698682e-01,3.216733320431849563e+01,1.272677004269517909e+00
6.400000000000004796e+00,6.443643910002930797e-01,3.221821955001465199e+01,1.272158642403908857e+00
6.440000000000004832e+00,6.453820427867201781e-01,3.226910213933601312e+01,1.272064733034028450e+00
6.480000000000004867e+00,6.463999667403362848e-01,3.231999833701681268e+01,1.272404942019988994e+00
6.520000000000004903e+00,6.474184827807123455e-01,3.237092413903561550e+01,1.273145050470070316e+00
6.560000000000004938e+00,6.484378509608942354e-01,3.242189254804470977e+01,1.274210225227356830e+00
6.600000000000004974e+00,6.494582448461657664e-01,3.247291224230828988e+01,1.275492356589502663e+00
6.640000000000005009e+00,6.504797335134999692e-01,3.252398667567499757e+01,1.276860834167692360e+00
6.680000000000005045e+00,6.515022741255808159e-01,3.257511370627904057e+01,1.278175765101075001e+00
6.720000000000005080e+00,6.525257159904672699e-01,3.262628579952336594e+01,1.279302331108134183e+00
6.760000000000005116e+00,6.535498158208860042e-01,3.267749079104429910e+01,1.280124788023329074e+00
6.800000000000005151e+00,6.545742626870221237e-01,3.272871313435110352e+01,1.280558582670110468e+00
6.840000000000005187e+00,6.555987100688542846e-01,3.277993550344271512e+01,1.280559227290289925e+00
6.880000000000005222e+00,6.566228116095127465e-01,3.283114058047563333e+01,1.280126925822955286e+00
6.920000000000005258e+00,6.576462567647598512e-01,3.288231283823799345e+01,1.279306444059002956e+00
6.960000000000005294e+00,6.586688025882483366e-01,3.293344012941241772e+01,1.278182279360606799e+00
7.000000000000005329e+00,6.596902983696196765e-01,3.298451491848098271e+01,1.276869726714124909e+00
7.040000000000005365e+00,6.607107006701602447e-01,3.303553503350801179e+01,1.275502875675726955e+00
