t,Energy,DissipationProxy,DeltaIntU,HalfDeltaIntPhi,misfit
25.63999999999963,15163.841234493799,-74.84085419070212,500.38068944699626,500.3806894462068,7.894414011389017e-10
25.67999999999963,15163.055548242748,-74.9090400304517,501.3305208368365,501.3305208359561,8.803908713161945e-10
25.71999999999963,15162.269646139139,-74.97705062568652,502.28057386750515,502.2805738668867,6.184563972055912e-10
25.75999999999963,15161.48352724276,-75.04488819631078,503.23085003891174,503.2308500380241,8.87666828930378e-10
25.799999999999628,15160.697190684723,-75.11255532921658,504.18135095211983,504.18135095140315,7.166818249970675e-10
25.839999999999627,15159.910635664804,-75.18005496996801,505.13207830726606,505.13207830645115,8.149072527885437e-10
25.879999999999626,15159.123861455728,-75.247390413493,506.0830338933665,506.0830338925116,8.549250196665525e-10
25.919999999999625,15158.336867409147,-75.31456529385929,507.0342195836529,507.03421958292165,7.312337402254343e-10
25.959999999999624,15157.549652953983,-75.38158357311801,507.9856373280818,507.9856373273251,7.566995918750763e-10
25.999999999999623,15156.76221760151,-75.44844952929026,508.93728914493477,508.9372891442108,7.239577826112509e-10
26.039999999999623,15155.974560946059,-75.51516774351096,509.8891771155104,509.8891771146227,8.87666828930378e-10
26.07999999999962,15155.186682667376,-75.58174308637489,510.841303374189,510.84130337330134,8.87666828930378e-10
26.11999999999962,15154.398582532302,-75.6481807035273,511.7936701023864,511.79367010160786,7.785274647176266e-10
26.15999999999962,15153.610260396417,-75.7144860005455,512.746279520652,512.7462795198335,8.185452315956354e-10
26.19999999999962,15152.821716202634,-75.78066462714574,513.6991338800071,513.6991338789412,1.0659277904778719e-09
26.23999999999962,15152.032949986507,-75.84672246076767,514.6522354541266,514.6522354533008,8.258211892098188e-10
26.279999999999617,15151.243961872751,-75.91266558959089,515.6055865324815,515.6055865315539,9.276845958083868e-10
26.319999999999617,15150.454752077194,-75.97850029501772,516.5591894110512,516.5591894101926,8.585629984736443e-10
26.359999999999616,15149.66532090635,-76.04423303368057,517.5130463851056,517.5130463840796,1.025910023599863e-09
26.399999999999615,15148.875668758026,-76.10987041903063,518.4671597407832,518.4671597398774,9.058567229658365e-10
26.439999999999614,15148.085796120273,-76.17541920254808,519.4215317479684,519.4215317470225,9.458744898438454e-10
