t; tip_pos; V_tip
128.8;153.749;0.110951
129.2;153.794;0.11294
129.6;153.839;0.115233
130;153.886;0.117835
130.4;153.934;0.120753
130.8;153.982;0.122225
131.2;154.031;0.120156
131.6;154.079;0.116674
132;154.125;0.113893
132.4;154.17;0.111462
132.8;154.214;0.109368
133.2;154.257;0.107601
133.6;154.3;0.10615
134;154.342;0.105008
134.4;154.384;0.104168
134.8;154.425;0.103623
135.2;154.467;0.103367
135.6;154.508;0.103398
136;154.55;0.103711
136.4;154.591;0.104305
136.8;154.633;0.105178
137.2;154.675;0.10633
137.6;154.718;0.107763
138;154.761;0.109479
138.4;154.806;0.111479
138.8;154.851;0.113769
139.2;154.897;0.116354
139.6;154.944;0.119239
140;154.992;0.119927
140.4;155.04;0.117317
140.8;155.086;0.11414
141.2;155.131;0.111514
141.6;155.175;0.109217
142;155.218;0.107238
142.4;155.261;0.105568
142.8;155.303;0.104197
143.2;155.344;0.103119
143.6;155.385;0.102326
144;155.426;0.101812
144.4;155.467;0.101573
144.8;155.507;0.101605
145.2;155.548;0.101905
145.6;155.589;0.102471
146;155.63;0.103303
146.4;155.672;0.104399
146.8;155.714;0.105762
147.2;155.756;0.107392
147.6;155.799;0.109294
148;155.844;0.111469
148.4;155.889;0.113924
148.8;155.935;0.116663
149.2;155.982;0.118087
149.6;156.029;0.11617
150;156.075;0.112883
150.4;156.119;0.11027
150.8;156.163;0.107972
151.2;156.206;0.10598
151.6;156.248;0.104283
152;156.289;0.102873
152.4;156.33;0.101743
152.8;156.371;0.100887
153.2;156.411;0.100297
153.6;156.451;0.099971
154;156.491;0.0999036
154.4;156.531;0.100092
154.8;156.571;0.100535
155.2;156.611;0.10123
155.6;156.652;0.102178
156;156.693;0.103378
156.4;156.735;0.104833
156.8;156.777;0.106544
157.2;156.82;0.108515
157.6;156.864;0.110749
158;156.908;0.113251
158.4;156.954;0.115986
158.8;157.001;0.115836
159.2;157.047;0.112831
159.6;157.091;0.11011
160;157.135;0.107697
160.4;157.178;0.10558
160.8;157.219;0.103752
161.2;157.261;0.102202
161.6;157.301;0.100924
162;157.341;0.0999108
162.4;157.381;0.0991563
162.8;157.421;0.0986557
163.2;157.46;0.0984049
163.6;157.499;0.0984005
164;157.539;0.0986399
164.4;157.578;0.0991215
164.8;157.618;0.0998442
165.2;157.658;0.100808
165.6;157.699;0.102014
166;157.74;0.103462
166.4;157.782;0.105156
166.8;157.824;0.107099
167.2;157.867;0.109294
167.6;157.911;0.111746
168;157.957;0.114359
168.4;158.003;0.114086
168.8;158.048;0.111101
169.2;158.092;0.10847
169.6;158.135;0.106132
170;158.177;0.104079
170.4;158.218;0.102301
170.8;158.259;0.10079
171.2;158.299;0.0995385
171.6;158.338;0.0985409
172;158.377;0.0977914
172.4;158.416;0.0972853
172.8;158.455;0.0970186
173.2;158.494;0.096988
173.6;158.533;0.0971913
174;158.572;0.0976266
174.4;158.611;0.0982931
174.8;158.65;0.0991905
175.2;158.69;0.100319
175.6;158.731;0.101681
176;158.772;0.103277
176.4;158.813;0.105111
176.8;158.856;0.107186
177.2;158.899;0.109506
177.6;158.943;0.112077
178;158.989;0.112917
178.4;159.034;0.110734
178.8;159.077;0.107807
179.2;159.12;0.105443
179.6;159.162;0.103354
180;159.203;0.101532
180.4;159.243;0.0999691
180.8;159.283;0.0986577
181.2;159.322;0.0975919
181.6;159.361;0.0967662
182;159.399;0.096176
182.4;159.438;0.095817
182.8;159.476;0.0956862
183.2;159.514;0.0957808
183.6;159.552;0.096099
184;159.591;0.0966395
184.4;159.63;0.097402
184.8;159.669;0.0983865
185.2;159.708;0.0995939
185.6;159.749;0.101026
186;159.789;0.102685
186.4;159.831;0.104573
186.8;159.873;0.106695
187.2;159.916;0.109055
187.6;159.96;0.111462
188;160.005;0.111012
188.4;160.049;0.108087
188.8;160.092;0.105607
189.2;160.133;0.103397
189.6;160.174;0.10145
190;160.215;0.0997561
190.4;160.254;0.0983095
190.8;160.293;0.0971032
191.2;160.332;0.0961317
191.6;160.37;0.09539
192;160.408;0.0948738
192.4;160.446;0.0945794
192.8;160.484;0.094504
193.2;160.522;0.0946452
193.6;160.56;0.0950015
194;160.598;0.0955717
194.4;160.636;0.0963557
194.8;160.675;0.0973538
195.2;160.714;0.0985669
195.6;160.754;0.0999967
196;160.794;0.101646
196.4;160.835;0.103516
196.8;160.877;0.105613
197.2;160.919;0.107939
197.6;160.963;0.1102
198;161.008;0.109595
198.4;161.051;0.10668
198.8;161.093;0.104273
199.2;161.134;0.102127
199.6;161.175;0.100233
200;161.214;0.0985833
200.4;161.254;0.097172
200.8;161.292;0.0959927
201.2;161.33;0.0950399
201.6;161.368;0.094309
202;161.406;0.0937959
202.4;161.443;0.093497
202.8;161.481;0.0934096
203.2;161.518;0.0935315
203.6;161.555;0.093861
204;161.593;0.0943974
204.4;161.631;0.0951401
204.8;161.669;0.0960894
205.2;161.708;0.0972464
205.6;161.747;0.0986124
206;161.787;0.10019
206.4;161.827;0.101981
206.8;161.868;0.103989
207.2;161.91;0.106219
207.6;161.953;0.108675
208;161.997;0.108756
208.4;162.04;0.106193
208.8;162.082;0.103692
209.2;162.123;0.101531
209.6;162.163;0.0996157
210;162.203;0.097939
210.4;162.242;0.0964941
210.8;162.28;0.0952752
211.2;162.318;0.0942768
211.6;162.355;0.0934943
212;162.393;0.0929237
212.4;162.43;0.0925613
212.8;162.467;0.0924044
213.2;162.504;0.0924507
213.6;162.541;0.0926984
214;162.578;0.0931464
214.4;162.615;0.0937942
214.8;162.653;0.0946419
215.2;162.691;0.0956901
215.6;162.73;0.0969399
216;162.769;0.0983933
216.4;162.808;0.100052
216.8;162.849;0.101921
217.2;162.89;0.104001
217.6;162.932;0.106299
218;162.975;0.107951
218.4;163.018;0.106704
218.8;163.06;0.103826
219.2;163.101;0.101583
219.6;163.141;0.0995809
220;163.181;0.097814
220.4;163.22;0.0962751
220.8;163.258;0.0949582
221.2;163.296;0.0938578
221.6;163.333;0.0929693
222;163.37;0.0922882
222.4;163.407;0.0918109
222.8;163.443;0.0915345
223.2;163.48;0.0914562
223.6;163.517;0.0915742
224;163.553;0.091887
224.4;163.59;0.0923938
224.8;163.627;0.0930944
225.2;163.665;0.0939889
225.6;163.702;0.095078
226;163.741;0.0963633
226.4;163.78;0.0978466
226.8;163.819;0.0995304
227.2;163.859;0.101418
227.6;163.9;0.103513
228;163.942;0.10582
228.4;163.985;0.106833
228.8;164.027;0.105042
229.2;164.069;0.10231
229.6;164.109;0.100163
230;164.149;0.0982482
230.4;164.188;0.0965603
230.8;164.226;0.0950926
231.2;164.264;0.0938393
231.6;164.301;0.0927954
232;164.338;0.0919563
232.4;164.375;0.0913181
232.8;164.411;0.0908773
233.2;164.447;0.0906311
233.6;164.484;0.090577
234;164.52;0.0907134
234.4;164.556;0.0910389
234.8;164.593;0.0915527
235.2;164.63;0.0922547
235.6;164.667;0.093145
236;164.704;0.0942245
236.4;164.742;0.0954947
236.8;164.78;0.0969573
237.2;164.82;0.0986151
237.6;164.859;0.100471
238;164.9;0.102528
238.4;164.941;0.104791
238.8;164.984;0.105854
239.2;165.026;0.104143
239.6;165.067;0.101436
240;165.107;0.0993206
240.4;165.147;0.0974318
240.8;165.185;0.0957633
241.2;165.223;0.0943092
241.6;165.261;0.0930638
242;165.298;0.0920224
242.4;165.334;0.0911804
242.8;165.371;0.0905341
243.2;165.407;0.09008
243.6;165.443;0.0898153
244;165.478;0.0897378
244.4;165.514;0.0898457
244.8;165.55;0.0901376
245.2;165.586;0.0906127
245.6;165.623;0.0912707
246;165.66;0.0921118
246.4;165.697;0.0931368
246.8;165.734;0.0943469
247.2;165.772;0.095744
247.6;165.811;0.0973303
248;165.85;0.0991087
248.4;165.89;0.101082
248.8;165.931;0.103255
249.2;165.973;0.104961
249.6;166.015;0.103901
250;166.056;0.101144
250.4;166.096;0.0990033
250.8;166.135;0.097085
251.2;166.173;0.095383
251.6;166.211;0.0938912
252;166.248;0.0926041
252.4;166.285;0.091517
252.8;166.322;0.0906252
253.2;166.358;0.089925
253.6;166.394;0.089413
254;166.429;0.0890863
254.4;166.465;0.0889424
254.8;166.5;0.0889796
255.2;166.536;0.0891963
255.6;166.572;0.0895915
256;166.608;0.0901648
256.4;166.644;0.0909161
256.8;166.68;0.0918461
257.2;166.717;0.0929558
257.6;166.755;0.0942467
258;166.793;0.0957208
258.4;166.831;0.0973804
258.8;166.871;0.0992287
259.2;166.911;0.101269
259.6;166.952;0.103505
260;166.994;0.103817
260.4;167.035;0.101608
260.8;167.075;0.0992017
261.2;167.114;0.0972034
261.6;167.153;0.0954188
262;167.19;0.0938419
262.4;167.228;0.0924672
262.8;167.264;0.0912897
263.2;167.301;0.0903047
263.6;167.337;0.0895083
264;167.372;0.088897
264.4;167.408;0.0884676
264.8;167.443;0.0882177
265.2;167.478;0.0881449
265.6;167.514;0.0882477
266;167.549;0.0885249
266.4;167.584;0.0889755
